Year,Month,Month_Name,Total_Counties,S1_Count,S2_Count,S3_Count,N_Count,NoData_Count,Avg_Score,Date,S1_Pct,S2_Pct,S3_Pct,N_Pct,NoData_Pct
2020,1,January,3144,9,199,2254,643,39,45.42811704834605,2020-01-01,0.2862595419847328,6.3295165394402035,71.69211195928753,20.451653944020357,1.2404580152671756
2020,2,February,3144,12,158,2225,710,39,44.19274809160305,2020-02-01,0.38167938931297707,5.025445292620865,70.76972010178118,22.58269720101781,1.2404580152671756
2020,3,March,3144,90,372,2204,439,39,48.846692111959285,2020-03-01,2.8625954198473282,11.83206106870229,70.10178117048346,13.963104325699746,1.2404580152671756
2020,4,April,3144,99,371,2243,392,39,49.19910941475827,2020-04-01,3.1488549618320607,11.80025445292621,71.34223918575063,12.46819338422392,1.2404580152671756
2020,5,May,3144,280,1082,1568,175,39,57.1087786259542,2020-05-01,8.9058524173028,34.4147582697201,49.87277353689568,5.566157760814249,1.2404580152671756
2020,6,June,3144,1134,1268,624,79,39,67.85432569974554,2020-06-01,36.06870229007634,40.33078880407125,19.84732824427481,2.5127226463104324,1.2404580152671756
2020,7,July,3144,806,1425,761,113,39,65.05025445292621,2020-07-01,25.636132315521625,45.32442748091603,24.204834605597963,3.594147582697201,1.2404580152671756
2020,8,August,3144,995,1284,690,136,39,66.12277353689568,2020-08-01,31.647582697201017,40.839694656488554,21.946564885496183,4.325699745547073,1.2404580152671756
2020,9,September,3144,631,1298,1030,146,39,62.333969465648856,2020-09-01,20.06997455470738,41.28498727735369,32.76081424936387,4.643765903307888,1.2404580152671756
2020,10,October,3144,116,681,2052,256,39,52.00190839694657,2020-10-01,3.689567430025445,21.660305343511453,65.2671755725191,8.142493638676845,1.2404580152671756
2020,11,November,3144,46,214,2390,455,39,46.594783715012724,2020-11-01,1.4631043256997456,6.806615776081425,76.0178117048346,14.472010178117047,1.2404580152671756
2020,12,December,3144,4,176,2385,540,39,45.06679389312977,2020-12-01,0.1272264631043257,5.597964376590331,75.85877862595419,17.17557251908397,1.2404580152671756
2021,1,January,3144,3,112,2498,492,39,45.350508905852415,2021-01-01,0.09541984732824427,3.5623409669211195,79.45292620865139,15.648854961832063,1.2404580152671756
2021,2,February,3144,15,182,2372,536,39,44.975190839694655,2021-02-01,0.4770992366412214,5.788804071246819,75.44529262086515,17.048346055979643,1.2404580152671756
2021,3,March,3144,20,233,2327,525,39,46.99173027989822,2021-03-01,0.6361323155216284,7.410941475826973,74.01399491094148,16.698473282442748,1.2404580152671756
2021,4,April,3144,55,361,2350,339,39,48.69783715012723,2021-04-01,1.7493638676844785,11.482188295165395,74.74554707379136,10.782442748091603,1.2404580152671756
2021,5,May,3144,308,1069,1568,160,39,57.39376590330789,2021-05-01,9.79643765903308,34.00127226463104,49.87277353689568,5.089058524173027,1.2404580152671756
2021,6,June,3144,1208,1274,537,86,39,68.95992366412214,2021-06-01,38.42239185750636,40.521628498727736,17.080152671755723,2.735368956743003,1.2404580152671756
2021,7,July,3144,1013,1399,566,127,39,67.12150127226464,2021-07-01,32.220101781170484,44.49745547073791,18.00254452926209,4.039440203562341,1.2404580152671756
