FIPS,Year,Month,ppt,tmin,tmean,tmax,mukey,ph,om,clay,sand,aws,db,Suitability_Class,Suitability_Code,Suitability_Score
01001,2023,5,79.54595588235294,15.565602022058824,21.3330810546875,27.100700827205884,3116206.0,4.811764705882353,0.6098039215686275,25.09803921568627,49.40627450980392,0.1348235294117647,1.5380392156862743,Moderately Suitable (S2),2,70.0
01003,2023,5,114.3847084205021,17.772248463650627,23.13270626307532,28.49330911676256,328220.0,6.497116221817468,5.510405359116853,19.48175096001651,41.193540226075264,0.1613582379087254,1.322172817125428,Highly Suitable (S1),1,96.0
01005,2023,5,151.84852267387217,15.487135808270676,21.624203330592103,27.76142504699248,328231.0,4.867647058823529,0.4965686274509804,20.495098039215687,61.95686274509804,0.1128431372549019,1.4362745098039216,Moderately Suitable (S2),2,70.0
01007,2023,5,93.21339013110632,15.363169001436782,21.23583563442888,27.10864538433908,2232549.0,4.833333333333333,0.6592592592592592,27.342592592592588,44.961481481481485,0.1324074074074074,1.4992592592592593,Moderately Suitable (S2),2,70.0
01009,2023,5,126.03603931183513,14.187154566988031,19.53531468168218,24.88362803357713,328376.0,5.643803604848326,1.807867857581523,15.995944657781449,59.86523116135006,0.1214129417574945,1.4682606260278728,Highly Suitable (S1),1,86.0
01011,2023,5,109.7696518132716,14.96144989390432,21.001895857445987,27.04248951099537,328423.0,4.967058823529412,1.105392156862745,20.90196078431372,47.032941176470594,0.1573725490196078,1.5458039215686277,Highly Suitable (S1),1,80.0
01013,2023,5,114.2489983974359,15.285863631810898,21.60668110643697,27.92765090811966,328464.0,4.858823529411764,1.4549019607843137,15.72156862745098,48.477647058823536,0.1729803921568627,1.5291372549019606,Highly Suitable (S1),1,80.0
01015,2023,5,131.30444623161765,14.143781594669118,19.740115176930143,25.33659237132353,523389.0,5.252906976744186,0.7713178294573643,15.025193798449614,67.37732558139534,0.1005426356589147,1.5884108527131786,Highly Suitable (S1),1,76.0
01017,2023,5,119.11421440972222,14.41155056423611,20.12729220920139,25.84318305121528,122765.0,5.898913043478261,2.399076086956522,17.167391304347827,42.71909420289855,0.1603550724637681,1.3095615942028986,Highly Suitable (S1),1,92.0
01019,2023,5,53.18582430752841,13.4586445201527,19.43631258877841,25.4141152121804,523019.0,4.908045977011494,1.2484674329501917,21.370114942528737,38.02620689655173,0.1404214559386973,1.408934865900383,Moderately Suitable (S2),2,66.0
01021,2023,5,88.05040147569444,15.223726625795718,20.98815013744213,26.75271945529514,328550.0,5.005813953488372,1.5465116279069768,18.66569767441861,33.68100775193798,0.1476550387596899,1.3581201550387596,Highly Suitable (S1),1,80.0
01023,2023,5,107.69251206341912,15.560877182904411,22.231924617991726,28.903119255514707,328565.0,5.292592592592593,0.6439814814814814,13.36851851851852,71.65185185185186,0.1842407407407407,1.5960740740740738,Moderately Suitable (S2),2,74.0
01025,2023,5,130.24958639705883,15.54208122702206,21.962522977941177,28.38310834099265,328645.0,4.95,1.1666666666666667,35.83333333333333,15.133333333333336,0.1816666666666667,1.3866666666666667,Moderately Suitable (S2),2,70.0
01027,2023,5,128.4770840731534,14.137868707830256,19.65035455877131,25.162980513139203,122788.0,5.200687285223368,0.7113402061855671,29.39776632302405,36.07061855670104,0.1513058419243986,1.412388316151203,Highly Suitable (S1),1,80.0
01029,2023,5,89.51060748922414,13.707404476472702,19.15428845635776,24.60132397180316,122810.0,5.013888888888889,0.9122685185185184,21.110648148148144,35.712314814814825,0.1610277777777777,1.4179074074074074,Moderately Suitable (S2),2,72.0
01031,2023,5,112.82245495854592,16.292546486367986,22.350110112404337,28.40781449298469,328657.0,4.908433734939758,0.5698795180722891,23.686746987951807,53.724096385542175,0.1206024096385541,1.4601204819277107,Highly Suitable (S1),1,78.0
01033,2023,5,74.78939494680851,14.446665662400266,20.119258799451465,25.792002576462767,328689.0,4.895121951219512,1.2489837398373984,30.888617886178857,41.83739837398375,0.1301463414634146,1.4166666666666667,Moderately Suitable (S2),2,70.0
01035,2023,5,170.14364495798318,16.069218996192227,22.243237920168067,28.41740455948004,328744.0,5.3,0.886989247311828,9.43763440860215,76.99569892473119,0.1,1.5762365591397849,Marginally Suitable (S3),3,56.00000000000001
01037,2023,5,124.3574749490489,14.812404466711955,20.61867490022079,26.425096594769023,1895730.0,4.867777777777778,0.5166666666666667,24.35,52.271111111111104,0.1355555555555555,1.5193333333333334,Moderately Suitable (S2),2,74.0
01039,2023,5,118.90175388003355,16.403135158871645,22.96914816222735,29.53531027160235,328759.0,5.265777777777777,0.692962962962963,15.311851851851852,63.52607407407407,0.1157037037037037,1.5057037037037035,Highly Suitable (S1),1,80.0
01041,2023,5,89.93477957589286,15.534848167782735,21.78374953497024,28.032799130394345,762733.0,5.015770609318997,0.6148745519713262,23.250896057347667,62.660430107526885,0.1225089605734767,1.5789964157706091,Moderately Suitable (S2),2,68.0
01043,2023,5,122.24836948939732,13.902341570172991,19.687731061662948,25.47326442173549,328935.0,5.3321969696969695,1.0047348484848484,14.229166666666664,66.37234848484849,0.0959469696969697,1.5803030303030303,Moderately Suitable (S2),2,72.0
01045,2023,5,119.66020976027396,16.562120411494007,22.434640544734588,28.30730950342466,328991.0,5.25625,0.7699999999999999,7.8,81.99625,0.08125,1.6095416666666664,Marginally Suitable (S3),3,57.99999999999999
01047,2023,5,128.77393973214285,15.713445172991072,21.58553466796875,27.45777587890625,329078.0,4.720547945205479,0.6245433789954338,26.28013698630137,54.54931506849315,0.1221095890410958,1.4792922374429225,Moderately Suitable (S2),2,74.0
01049,2023,5,79.44299640486726,13.283789710660953,18.74454464532633,24.20544757674225,329161.0,4.7733333333333325,0.9666666666666668,19.5,59.03333333333333,0.1086666666666666,1.524,Moderately Suitable (S2),2,66.0
01051,2023,5,126.35925949260752,15.264539493027554,20.94854801957325,26.632696992607528,329289.0,4.673333333333334,0.5566666666666668,24.66666666666667,39.17333333333333,0.1688,1.4186666666666667,Highly Suitable (S1),1,76.0
01053,2023,5,104.18779032939187,16.5714111328125,22.64446196684966,28.717654666385137,329314.0,5.0,2.013888888888889,9.416666666666666,63.92777777777778,0.1377777777777777,1.4994444444444446,Highly Suitable (S1),1,78.0
01055,2023,5,111.66759500385804,14.146012671199845,19.597282503858025,25.048698519483025,329396.0,4.6,0.8833333333333333,22.53333333333333,49.06666666666667,0.164,1.5386666666666666,Highly Suitable (S1),1,76.0
01057,2023,5,71.71026056463069,13.906818736683238,20.402359008789062,26.898032448508523,329501.0,4.780392156862746,0.7156862745098039,24.75490196078432,49.55294117647059,0.1433333333333333,1.5417647058823531,Moderately Suitable (S2),2,62.0
01059,2023,5,70.19384234884511,13.971532407014266,19.910371199898098,25.84935992697011,329589.0,5.25,0.75,15.0,67.55,0.1,1.59,Moderately Suitable (S2),2,64.0
01061,2023,5,80.42173138786765,15.997990866268385,22.42021053538603,28.842578125,329623.0,5.2875000000000005,0.7827651515151515,14.078598484848486,66.37450757575758,0.1104621212121212,1.4980492424242422,Moderately Suitable (S2),2,72.0
01063,2023,5,67.46867727726064,15.776823003241356,21.56006768409242,27.34345391456117,329700.0,5.147887323943662,1.54518779342723,17.083333333333336,51.50962441314554,0.1342488262910798,1.4271830985915497,Moderately Suitable (S2),2,74.0
01065,2023,5,88.92574097938144,15.721361297922035,21.43912844313789,27.157045344716494,329765.0,4.811764705882353,0.6098039215686275,25.09803921568627,49.40627450980392,0.1348235294117647,1.5380392156862743,Moderately Suitable (S2),2,70.0
01067,2023,5,126.04569284539474,16.497230931332236,22.31184949372944,28.12662546258224,329817.0,5.331589147286821,0.7344961240310077,5.090116279069767,84.75523255813954,0.0703488372093023,1.5721511627906974,Moderately Suitable (S2),2,62.0
01069,2023,5,90.03770751953125,17.02563018798828,22.86805419921875,28.710626220703126,330385.0,5.3,0.25,5.3,85.7,0.08,1.5800000000000003,Marginally Suitable (S3),3,56.00000000000001
01071,2023,5,101.55085403726709,13.712203695166924,19.16166355298913,24.611276567352483,522929.0,7.0,1.375,46.25,7.6,0.125,1.58,Moderately Suitable (S2),2,68.0
01073,2023,5,83.02375309641768,15.520891887385671,20.938498892435213,26.356245831745422,329927.0,5.3,0.96875,20.25,42.46875,0.1246875,1.4490625,Moderately Suitable (S2),2,74.0
01075,2023,5,72.23532586348684,14.487117084703948,20.9237548828125,27.360536595394738,2494834.0,4.7615384615384615,0.7783882783882783,22.57692307692308,46.94212454212455,0.1368131868131868,1.4802564102564104,Moderately Suitable (S2),2,66.0
