FIPS,Year,Month,ppt,tmin,tmean,tmax,mukey,ph,om,clay,sand,aws,db,Suitability_Class,Suitability_Code,Suitability_Score
01001,2024,10,0.0613035258124856,11.37415699678309,19.47663143382353,27.579107306985293,3116206.0,4.811764705882353,0.6098039215686275,25.09803921568627,49.40627450980392,0.1348235294117647,1.5380392156862743,Marginally Suitable (S3),3,54.0
01003,2024,10,55.96390804785565,14.242931158472803,21.196334008891213,28.14973481629184,328220.0,6.497116221817468,5.510405359116853,19.48175096001651,41.193540226075264,0.1613582379087254,1.322172817125428,Highly Suitable (S1),1,80.0
01005,2024,10,3.1485802213052163,12.632179202890038,19.774116688204888,26.916050502232142,328231.0,4.867647058823529,0.4965686274509804,20.495098039215687,61.95686274509804,0.1128431372549019,1.4362745098039216,Marginally Suitable (S3),3,54.0
01007,2024,10,0.0165149411935915,11.169030902029451,19.161534101113507,27.15403589709052,2232549.0,4.833333333333333,0.6592592592592592,27.342592592592588,44.961481481481485,0.1324074074074074,1.4992592592592593,Marginally Suitable (S3),3,54.0
01009,2024,10,0.159230851112528,10.458745428856384,17.785400390625,25.112052755152927,328376.0,5.643803604848326,1.807867857581523,15.995944657781449,59.86523116135006,0.1214129417574945,1.4682606260278728,Moderately Suitable (S2),2,62.0
01011,2024,10,4.728040907118055,11.928471317997683,19.325532889660494,26.72259295428241,328423.0,4.967058823529412,1.105392156862745,20.90196078431372,47.032941176470594,0.1573725490196078,1.5458039215686277,Moderately Suitable (S2),2,60.0
01013,2024,10,10.046907343416132,11.806659405048077,19.725114349626068,27.64356720753205,328464.0,4.858823529411764,1.4549019607843137,15.72156862745098,48.477647058823536,0.1729803921568627,1.5291372549019606,Moderately Suitable (S2),2,60.0
01015,2024,10,0.5094446967629825,9.500216854319852,17.79693531709559,26.09365234375,523389.0,5.252906976744186,0.7713178294573643,15.025193798449614,67.37732558139534,0.1005426356589147,1.5884108527131786,Marginally Suitable (S3),3,52.0
01017,2024,10,0.1063199996948242,10.792919243706596,18.34393310546875,25.89494357638889,122765.0,5.898913043478261,2.399076086956522,17.167391304347827,42.71909420289855,0.1603550724637681,1.3095615942028986,Moderately Suitable (S2),2,72.0
01019,2024,10,1.6263944452459165,9.751161055131393,17.624908447265625,25.4986572265625,523019.0,4.908045977011494,1.2484674329501917,21.370114942528737,38.02620689655173,0.1404214559386973,1.408934865900383,Marginally Suitable (S3),3,54.0
01021,2024,10,0.0,11.166092484085649,19.171809443721063,27.17752640335648,328550.0,5.005813953488372,1.5465116279069768,18.66569767441861,33.68100775193798,0.1476550387596899,1.3581201550387596,Moderately Suitable (S2),2,64.0
01023,2024,10,0.8922338485717773,10.704921946806069,19.353230195886947,28.001536649816178,328565.0,5.292592592592593,0.6439814814814814,13.36851851851852,71.65185185185186,0.1842407407407407,1.5960740740740738,Marginally Suitable (S3),3,50.0
01025,2024,10,6.8624174230238975,11.372310144761029,19.63138786764706,27.890464154411763,328645.0,4.95,1.1666666666666667,35.83333333333333,15.133333333333336,0.1816666666666667,1.3866666666666667,Marginally Suitable (S3),3,54.0
01027,2024,10,0.2384602373296564,9.833120172674006,17.457504272460938,25.081886985085227,122788.0,5.200687285223368,0.7113402061855671,29.39776632302405,36.07061855670104,0.1513058419243986,1.412388316151203,Marginally Suitable (S3),3,56.00000000000001
01029,2024,10,0.9644931486283226,9.595860272988508,17.270420819863507,24.944981366738507,122810.0,5.013888888888889,0.9122685185185184,21.110648148148144,35.712314814814825,0.1610277777777777,1.4179074074074074,Marginally Suitable (S3),3,56.00000000000001
01031,2024,10,3.350712367466518,13.342187998246173,20.51811373963648,27.69403698979592,328657.0,4.908433734939758,0.5698795180722891,23.686746987951807,53.724096385542175,0.1206024096385541,1.4601204819277107,Marginally Suitable (S3),3,57.99999999999999
01033,2024,10,0.2350521087646484,10.732540698761635,18.136362928025267,25.54018450797872,328689.0,4.895121951219512,1.2489837398373984,30.888617886178857,41.83739837398375,0.1301463414634146,1.4166666666666667,Marginally Suitable (S3),3,57.99999999999999
01035,2024,10,11.572222541360292,12.102342108718489,19.998865464154413,27.895388819590337,328744.0,5.3,0.886989247311828,9.43763440860215,76.99569892473119,0.1,1.5762365591397849,Marginally Suitable (S3),3,48.0
01037,2024,10,0.0,10.895492553710938,18.90333888841712,26.91118588654892,1895730.0,4.867777777777778,0.5166666666666667,24.35,52.271111111111104,0.1355555555555555,1.5193333333333334,Marginally Suitable (S3),3,54.0
01039,2024,10,19.571108824454697,13.070356740247483,20.679782534605703,28.28920996749161,328759.0,5.265777777777777,0.692962962962963,15.311851851851852,63.52607407407407,0.1157037037037037,1.5057037037037035,Marginally Suitable (S3),3,56.00000000000001
01041,2024,10,9.393454415457589,12.82957531156994,20.124302455357142,27.41903541201637,762733.0,5.015770609318997,0.6148745519713262,23.250896057347667,62.660430107526885,0.1225089605734767,1.5789964157706091,Moderately Suitable (S2),2,60.0
01043,2024,10,0.0467973181179591,9.653256007603236,17.47765895298549,25.30206516810826,328935.0,5.3321969696969695,1.0047348484848484,14.229166666666664,66.37234848484849,0.0959469696969697,1.5803030303030303,Marginally Suitable (S3),3,52.0
01045,2024,10,1.6110040325008026,13.731932757651968,20.66633167005565,27.600729746361303,328991.0,5.25625,0.7699999999999999,7.8,81.99625,0.08125,1.6095416666666664,Not Suitable (N),4,38.0
01047,2024,10,2.666738455636161,11.139083426339283,19.44796840122768,27.756851632254463,329078.0,4.720547945205479,0.6245433789954338,26.28013698630137,54.54931506849315,0.1221095890410958,1.4792922374429225,Marginally Suitable (S3),3,54.0
